id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-06-0168-01A	0	0.0217017492008074	0	0.0239021707665787	0	0.17912417027701	0	0	0	0	0.0204970934837553	0.0487227019550164	0.167375796867231	0.0625440987505262	0.0312972605023798	0.346679619857995	0	0.0195508347127657	0	0.0178998404619304	0	0.0607046631640053	0	0.377411714552735	0.927784565933968
TCGA-19-1390-01A	0.022548936072569	0	0	0	0	0.0638343288359527	0	0.0407226695175753	0	0	0.0407608968689368	0.0116917490388277	0.0854896518825878	0.183537992973952	0.0941378328040273	0.387476823346891	0	0	0	0	0	0.0697991186586802	0.01	0.172996786870721	1.03726941535441
TCGA-41-4097-01A	0	0.0216353319454606	0.0016468329802424	0.197168399429015	0	0.100557652297578	0.0178421714905456	0	0	0	0.0457599336375132	0	0.0856698782310176	0.0281531450981588	0.0220434349810671	0.363139469534879	0.0285318747404374	0	0	0.00631166052791526	0	0.0815402151061694	0	0.334330716957354	0.947509275050639
TCGA-06-0649-01B	0.0756425069395215	0	0.010233804044491	0.0286327089527519	0	0.148910094990163	0	0.00520509733133119	0	0.0332684012199334	0	0	0.235264606454597	0.0334812825655062	0.0174728636479437	0.298549786988777	0	0.00996242692575477	0	0.0354515220080131	0.023984984239519	0.0439399136916971	0	0.418135724176902	0.907848594630925
TCGA-27-2526-01A	0	0.031318035054902	0	0.27799444128928	0	0.0474683914227674	0.0204492271439413	0.0195913408363722	0.00865923914898371	0	0	0.0753123279617377	0.0397963931488293	0.000530566672913317	0.0983290511528294	0.256567052170153	0.00882511272804397	0	0.104302917436282	0	0	0.0108559038329642	0	0.316400638141243	0.955552766169029
TCGA-27-2523-01A	0.0303125344081741	0	0	0.0709545525501939	0	0.130713540262042	0	0.0216393503379935	0.0123776766733029	0	0.0126663902759094	0.0293271476422567	0.0837984639204863	0.130684285812699	0.0698715575260399	0.389414823340782	0	0	0.0060516519664154	0	0.00246348785506015	0.00972453742864455	0	0.257503905326397	0.985712412418
TCGA-06-5412-01A	0.00506731351085668	0	0	0	0	0.212887731208764	0.00812925677361253	0	0	0	0	0.050345168277784	0.190820945368257	0.0673737267045677	0.0378148189169825	0.271205846874202	0	0	0	0.0520526187347473	0.0207928968539435	0.0835096767762826	0	0.422500930764231	0.90591403461325
TCGA-19-4065-01A	0	0	0.00338890917349156	0.0525502832379705	0	0.133578378259551	0	0.0192339224907124	0	0	0.0106226430345926	0.0107030571398215	0.196687351072935	0.0897234852692921	0.0638222261032186	0.302714983489549	0.00353813841581826	0	0	0.00728933487778426	0.0781102734510647	0.0280370139841981	0	0.41410162457004	0.910073555047418
TCGA-06-0644-01A	0.00617747778736632	0.022017223333336	0	0.0663839646410361	0	0.167108900978415	0.076271903695693	0	0	0	0	0.0404542178338099	0.0469438234292492	0.110314208139015	0.0477381638367819	0.233998227322123	0.0857522451410423	0	0.0586705151233497	0	0	0.0381691287387827	0	0.434362802588325	0.901154750180395
TCGA-12-0821-01A	0	0.0500920712427318	0	0.000466805981849758	0	0.136894061061069	0	0.0459093596816379	0	0	0.0374991183523838	0	0.0830932377519383	0.183993865738025	0.0732491312121227	0.227475627282833	0	0	0.0711838979033068	0	0.0552584223148329	0.0348844014772693	0	0.292649359547367	0.963555666808411
TCGA-28-1753-01A	0.00506775824203027	0.0225094062248764	0	0.0611049100867858	0	0.0765092292756725	0	0.00427868037675624	0.00195812974510122	0	0	0.0205227733737782	0.0112066089832109	0.201632806186107	0.0562554721418885	0.418356888019373	0.0347265684350627	0	0.0401326568151866	0	0.0355508088769738	0.0101873032171973	0	0.559875861319891	0.831344733595745
TCGA-12-0619-01A	0	0.0264413325402795	0.00194016346063478	0.0408830371980808	0	0.110508732624602	0.0143714856550667	0.0189505236666931	0.00568832277341319	0	0.0342367560756795	0.0210742615704546	0.216418993204047	0.0509215776398353	0.0202277949037343	0.269166631666714	0	0.00982875034107524	0.0435623327179386	0	0	0.115779303961751	0	0.346822763735153	0.942172820114665
TCGA-14-0789-01A	0	0	0	0.00902458901459381	0	0.23956227893906	0	0.00197189314263957	0.00595191771775421	0	0.038149077140947	0	0.215650074159942	0.13524761481613	0.0351995097406215	0.258455334477895	0.00676377902359366	0	0	0	0.0307410171870574	0.0232829146397662	0	0.347211293877167	0.942436728451525
TCGA-32-2634-01A	0	0.0343014598211582	0	0.0199769064761965	0	0.145776531577562	0	0.028096842233592	0	0	0	0.0126196709980064	0.148125359513941	0.169100975336919	0.0381668309545359	0.351599358853168	0	0	0	0.0320661699698368	0	0.020169894265085	0	0.249636953319111	0.99164691834536
TCGA-06-0158-01A	0	0.029047236510838	0	0.00292389636149689	0	0.0997830109716383	0	0.01470135778237	0.000323818210437487	0	0.00610178029268359	0	0.23363634035863	0.0949517527558042	0.0425985950706788	0.358128602827578	0	0	0	0.0405135704110735	0.030770729950505	0.0465193084962664	0	0.362766619010831	0.938438564497249
